,term,weight
0,10,0.0004081691295836319
1,100,0.00014122299110295154
2,15,0.00012906347668540822
3,17,7.207706828138008e-05
4,17 year,7.207706828138008e-05
5,19th,0.00014122299110295154
6,20,0.00014122299110295154
7,200,0.00014122299110295154
8,2012,0.00014122299110295154
9,30,0.00028244598220590313
10,39,0.013604481476251035
11,3d,0.0002353716518382526
12,50,0.00028244598220590313
13,able,0.0004236689733088547
14,absolutely,0.00014122299110295154
15,accept,0.0002353716518382526
16,accident,0.00028244598220590313
17,accompanied,0.00014122299110295154
18,according,0.00014122299110295154
19,achieved,0.00014122299110295154
20,achievement,0.00014122299110295154
21,acting,0.00028244598220590313
22,action,0.00014122299110295154
23,actor,0.0009885609377206605
24,actually,0.00047074330367650525
25,adaptation,0.00018829732147060207
26,adapted,0.0002353716518382526
27,add,0.00018829732147060207
28,added,0.00028244598220590313
29,addition,0.0008473379466177091
30,admit,0.00018829732147060207
31,adult,0.00014122299110295154
32,advance,0.00014122299110295154
33,advantage,0.00014122299110295154
34,advertisement,0.00014122299110295154
35,aesthetic,0.00032952031257355366
36,affectionate,0.00018829732147060207
37,afraid,0.00028244598220590313
38,age,0.0006590406251471072
39,ago,0.00028244598220590313
40,agui,0.00014122299110295154
41,ah,0.00014122299110295154
42,ai,0.0002353716518382526
43,air,0.0002353716518382526
44,alert,0.00028244598220590313
45,allen,0.00014122299110295154
46,alley,0.00014122299110295154
47,amazing,0.00018829732147060207
48,american,0.0002353716518382526
49,ancient,0.00018829732147060207
50,angel,0.00030144640824485044
51,anger,0.00014122299110295154
52,animal,0.0002353716518382526
53,animated,0.00018829732147060207
54,animation,0.00014122299110295154
55,anna,0.0006590406251471072
56,answer,0.00014122299110295154
57,anti,0.00017511349977838048
58,antique,0.00014122299110295154
59,anxiety,0.00014122299110295154
60,appear,0.00018829732147060207
61,appearance,0.0004236689733088547
62,appeared,0.00028244598220590313
63,appetite,0.00014122299110295154
64,appreciate,0.00014122299110295154
65,appreciation,0.00018829732147060207
66,arm,0.00032952031257355366
67,armor,0.00018829732147060207
68,arrangement,0.00014122299110295154
69,arrogant,0.00032952031257355366
70,art,0.0012239325895589135
71,article,0.00014122299110295154
72,artist,0.00014122299110295154
73,asian,0.00013103024392699047
74,ask,0.0005178176340441558
75,asked,0.00028244598220590313
76,atmosphere,0.0006119662947794567
77,attached,0.00014122299110295154
78,attack,0.00014122299110295154
79,attention,0.00047074330367650525
80,attitude,0.0003765946429412042
81,attribute,0.00018829732147060207
82,audience,0.0015534529021324676
83,author,0.0005648919644118063
84,avatar,0.00014122299110295154
85,avoid,0.00014122299110295154
86,away,0.0005648919644118063
87,awkward,0.0002353716518382526
88,baby,0.00018829732147060207
89,background,0.0004236689733088547
90,bad,0.0010356352680883111
91,bag,0.00014122299110295154
92,baht,0.0008944122769853596
93,ball,0.00014122299110295154
94,balzac,0.00032952031257355366
95,ban,0.00014122299110295154
96,banana,0.00014122299110295154
97,bar,0.00018829732147060207
98,baseball,0.00018829732147060207
99,based,0.0005073889960745771
100,basic,0.00018829732147060207
101,battle,0.0002353716518382526
102,beach,0.00014122299110295154
103,bean,0.00018829732147060207
104,beat,0.00018829732147060207
105,beaten,0.00014122299110295154
106,beautiful,0.0014593042413971664
107,beauty,0.0005648919644118063
108,bed,0.00018829732147060207
109,beef,0.00018829732147060207
110,began,0.0002353716518382526
111,beginning,0.0009414866073530101
112,belief,0.0003765946429412042
113,believe,0.0007531892858824082
114,belongs,0.00014122299110295154
115,best,0.0008473379466177091
116,better,0.0004236689733088547
117,big,0.0018172985768051958
118,biggest,0.00014122299110295154
119,bin,0.00028244598220590313
120,bird,0.00032952031257355366
121,birth,0.00014122299110295154
122,bit,0.0011768582591912629
123,bitter,0.00018829732147060207
124,black,0.0008778630528433185
125,blame,0.00014122299110295154
126,blank,0.00014122299110295154
127,blind,0.00028244598220590313
128,blockbuster,0.00018829732147060207
129,blood,0.00028244598220590313
130,bloody,0.0004236689733088547
131,blue,0.00014122299110295154
132,bo,0.0003765946429412042
133,bodhisattva,0.00014122299110295154
134,body,0.0003765946429412042
135,bone,0.00014122299110295154
136,book,0.0010827095984559617
137,boring,0.00018829732147060207
138,born,0.00014122299110295154
139,borrow,0.00014122299110295154
140,bos,0.0003765946429412042
141,box,0.0005178176340441558
142,boy,0.0008944122769853596
143,boyfriend,0.00014122299110295154
144,brain,0.0002689055782563578
145,branch,0.00018829732147060207
146,break,0.00018829732147060207
147,bridge,0.00032952031257355366
148,bright,0.0002353716518382526
149,bring,0.00014122299110295154
150,brings,0.00014122299110295154
151,broadcast,0.00014122299110295154
152,broke,0.0002353716518382526
153,broken,0.00028244598220590313
154,brother,0.0008330632638884306
155,brought,0.00047074330367650525
156,bucket,0.00014122299110295154
157,buddha,0.0009885609377206605
158,buddhism,0.0002353716518382526
159,building,0.0003765946429412042
160,bullet,0.00028244598220590313
161,bully,0.00018829732147060207
162,business,0.00014122299110295154
163,butter,0.00014122299110295154
164,buy,0.00028244598220590313
165,cake,0.0004236689733088547
166,called,0.0009414866073530101
167,calm,0.00028244598220590313
168,came,0.0005178176340441558
169,candy,0.00018829732147060207
170,car,0.0013651555806618652
171,care,0.0003765946429412042
172,case,0.0004236689733088547
173,catching,0.0001593044535515664
174,cathy,0.00018829732147060207
175,cause,0.00032952031257355366
176,caused,0.00018829732147060207
177,century,0.0003765946429412042
178,certain,0.0002353716518382526
179,certainly,0.00018829732147060207
180,chair,0.00014122299110295154
181,chance,0.00018829732147060207
182,change,0.0008002636162500586
183,changed,0.00028244598220590313
184,channel,0.00018829732147060207
185,character,0.0023537165183825275
186,characteristic,0.00028244598220590313
187,chase,0.00014122299110295154
188,chasing,0.00018829732147060207
189,cheese,0.00014122299110295154
190,chen,0.0009885609377206605
191,cheng,0.00014122299110295154
192,cherry,0.00028244598220590313
193,chest,0.00014122299110295154
194,chiang,0.00014122299110295154
195,chicken,0.00047074330367650525
196,child,0.0014122299110295158
197,childhood,0.00014122299110295154
198,chili,0.0002353716518382526
199,china,0.0006119662947794567
200,chinese,0.001271006919926564
201,chocolate,0.00018829732147060207
202,choice,0.0002353716518382526
203,choose,0.0006590406251471072
204,chosen,0.00014122299110295154
205,chou,0.0013651555806618652
206,cinema,0.0003765946429412042
207,circle,0.00028244598220590313
208,city,0.0009321299724987837
209,civilization,0.00028244598220590313
210,civilized,0.00014122299110295154
211,clam,0.0002353716518382526
212,class,0.00028244598220590313
213,classic,0.0004236689733088547
214,claw,0.00018829732147060207
215,clear,0.0006900524698035161
216,clearly,0.00047074330367650525
217,climax,0.00018829732147060207
218,cloak,0.00014122299110295154
219,close,0.0003765946429412042
220,cloud,0.00018829732147060207
221,club,0.00018829732147060207
222,clue,0.00014122299110295154
223,coffee,0.00028244598220590313
224,coincidence,0.00014122299110295154
225,cold,0.0005648919644118063
226,college,0.00014122299110295154
227,color,0.0006590406251471072
228,colorful,0.0002353716518382526
229,combination,0.00032952031257355366
230,come,0.001271006919926564
231,comedy,0.00035743710543266585
232,comfort,0.0002353716518382526
233,comfortable,0.00018829732147060207
234,comic,0.00014122299110295154
235,comment,0.0002353716518382526
236,commercial,0.00028244598220590313
237,common,0.00028244598220590313
238,company,0.0005648919644118063
239,compare,0.00018829732147060207
240,compared,0.0002353716518382526
241,compassion,0.00018829732147060207
242,competition,0.00018829732147060207
243,complete,0.0002353716518382526
244,completely,0.0007061149555147577
245,complicated,0.00018829732147060207
246,concept,0.00028244598220590313
247,concerned,0.00014122299110295154
248,conclusion,0.00018829732147060207
249,condition,0.00014122299110295154
250,confidence,0.00014122299110295154
251,conflict,0.0002353716518382526
252,confused,0.00032952031257355366
253,considered,0.00014122299110295154
254,constantly,0.00018829732147060207
255,contact,0.00014122299110295154
256,continue,0.00032952031257355366
257,continues,0.00018829732147060207
258,contrary,0.00014122299110295154
259,contrast,0.00018829732147060207
260,cook,0.00018829732147060207
261,cool,0.0004236689733088547
262,corner,0.00014122299110295154
263,correct,0.00014122299110295154
264,costume,0.00018829732147060207
265,countless,0.00028244598220590313
266,country,0.00032952031257355366
267,courage,0.00018829732147060207
268,course,0.0007531892858824082
269,cover,0.0003765946429412042
270,crab,0.0005648919644118063
271,crazy,0.0002353716518382526
272,cream,0.00032952031257355366
273,create,0.00028244598220590313
274,created,0.00028244598220590313
275,creation,0.00014122299110295154
276,critic,0.00018829732147060207
277,cruel,0.0002353716518382526
278,cup,0.00018829732147060207
279,current,0.0003765946429412042
280,curry,0.0002353716518382526
281,customer,0.00014122299110295154
282,cut,0.00017663849717824948
283,cute,0.0004236689733088547
284,cycling,0.00014122299110295154
285,da,0.0006119662947794567
286,dame,0.00018829732147060207
287,dance,0.0017888245539707205
288,dancing,0.00018829732147060207
289,dark,0.00047074330367650525
290,darkness,0.00014122299110295154
291,daughter,0.0002353716518382526
292,dawei,0.00014122299110295154
293,day,0.0010356352680883111
294,dazzling,0.00018829732147060207
295,dead,0.0003154833604092021
296,dear,0.00014122299110295154
297,death,0.0008002636162500586
298,decorated,0.00014122299110295154
299,deep,0.0005178176340441558
300,deeply,0.00014122299110295154
301,definitely,0.00028244598220590313
302,degree,0.00028244598220590313
303,delicate,0.00014122299110295154
304,delicious,0.0018829732147060217
305,demon,0.0002353716518382526
306,depiction,0.00014122299110295154
307,described,0.00014122299110295154
308,description,0.0004236689733088547
309,design,0.00014122299110295154
310,designed,0.00014122299110295154
311,desire,0.00047074330367650525
312,dessert,0.0005178176340441558
